genres,release_date,metascore,developer,publisher,userscore,rating,summary,title
Strategy|Management|Business / Tycoon|,"May 10, 2016",69,Deck 13,astragon,4.9,None,"The game tends to be repetitive, you need to pause it very often to be able to meet the goals. The pause button is rather idiotic, as you have to pres 2 times space to pause it. it needs polishing, and a patch is really needed to fix the multitude of issues it has. Not a bad game, but you'll get bored of it a tad quicker by the 3rd or 4th mission...",TransOcean 2: Rivals
Action|Shooter|Shooter|First-Person|Sci-Fi|Sci-Fi|Arcade|,"Apr 24, 2009",69,Action Forms Ltd.,Aspyr,7.7,T,"Cryostasis takes place in 1981 on a nuclear ice breaker called the North Wind, which has become shipwrecked near the North Pole. The main character, Alexander Nesterov is a Russian meteorologist who must investigate what happened onboard the ship. But he’s not alone and the North Wind is now plagued by dead crewmen who have undergone a bizarre metamorphosis due to the effects of the incredibly cold climate. Alexander must try to unravel the mystery of the ship captain’s death and discover whether it was the cold or, possibly, something far more sinister. [1C Company]",Cryostasis: The Sleep of Reason
Adventure|3D|First-Person|,"Apr 10, 2017",69,Big Robot Ltd,Big Robot Ltd,6.1,None,"<span class=""blurb blurb_collapsed"">The Signal from Tölva, a mysterious name inspired by the icelandic word for 'number prophet', which transcribes to 'computer.<br/>The game starts</span>",The Signal From Tolva
Simulation|Flight|Old Jet|Old Jet|Combat|,"Nov  8, 2004",69,Third Wire,Bold Games,8.5,T,"Wings Over Vietnam recreates the intense air combat experience in the skies over North Vietnam at the height of the air campaign during the Vietnam War. Fully scalable single and multiplayer gameplay from novice to experienced sim pilot. Perform naval or marine air combat missions from ""Yankee Station"", launching off either Kitty Hawk or Essex Class (Modernized) aircraft carriers. Take off from Air Force bases in Thailand to engage North Vietnamese MiGs during MIGCAP operations. Lead successful air-to-ground missions targeting power plants, bridges, airbases and naval facilities. Take part in ""Wild Weasel"" missions against the massive North Vietnamese SAM defenses! Go ""Downtown"" as you perform missions into the heart of the North Vietnamese capital, Hanoi, and its fearsome air defense network! [Bold Games]",Wings Over Vietnam
Role-Playing|Action Adventure|Action RPG|Linear|,"Sep 28, 2017",69,RuneHeads,1C Entertainment,5.9,None,"This is a very rich and complex game, when I read it was developed by two people in less than one year I couldn’t believe it. The graphics looks cool and it was fun to play cause the combat system is quite amazing (to be honest, I died like a million times cause it’s quite challenging: you really got to learn your way around). I definitely enjoyed that there are many types of weapons and each one behaves differently. And it’s not all about fighting: you slow get to know the story of the characters and the world they’re in and it’s deep and very emotional. The end almost made me cry.. The influence of Dark Souls and Ico is evident but in the end Fall of Light is an entirely unique game. Definitely recommend it!!",Fall of Light
Action Adventure|Survival|,"Oct 19, 2015",69,Devespresso Games,Devespresso Games,8.5,None,"The Coma: Cutting Class is a survival horror adventure game. Assume the role of Youngho, a Korean high school student trapped and relentlessly pursued by a psychotic killer in the hellish corridors of Sehwa High. Run, hide, explore, and survive while piecing together the mystery of how and why you're here. ",The Coma: Cutting Class
Action|General|General|Shooter|Third-Person|Tactical|,"Jun 25, 2009",69,EA DICE,Electronic Arts,6.1,T,"<span class=""blurb blurb_collapsed"">Battlefield Heroes is a brand new Play 4 Free game from the people that brought you the multi-million selling ""Battlefield 1942"" and ""Battlefield 2""<br/>It's a fun cartoon-style shooter which caters to players of all skill levels – easy to pick up and play, but with deep character development.</span>",Battlefield Heroes
Role-Playing|Action RPG|,"May 31, 2019",69,Games Workshop,Bigben Interactive,5.0,M,"Finally something interesting from the HNS genre, people complain that there is nothing new from the ARPG genre and I am not surprised because it is impossible to curtail their expectations.",Warhammer: Chaosbane
Action|Beat-'Em-Up|Beat-'Em-Up|2D|3D|,"Dec  9, 2004",69,Stormfront Studios,Atari,5.9,T,"In Forgotten Realms: Demon Stone, the player directs a party of three characters ? Fighter, Sorcerer and Rogue. The player controls one party member at a time -- switching between them on the fly -- while the other party members are controlled by the engine?s sophisticated artificial intelligence. For example, when the player controls the Fighter, the Sorcerer and Rogue will continue to engage in combat, cast spells and assist the player in defeating all challengers. In many situations, the characters will be able to divide and conquer difficult objectives ? while the Fighter holds back a horde of Yuan-Ti snakemen with brute force, the Sorcerer supports him with devastating ranged magic while the rogue sneaks above and behind them for a coup de grace. The player participates seamlessly in each critical moment as they are cinematically switched from one perspective to another. This real-time, on-the-fly character switching design allows Forgotten Realms: Demon Stone to challenge players with innovative and compelling encounters. In true D&D fashion, each of the characters excels at a certain type of gameplay. The Fighter thrives in melee combat, the Sorcerer is excellent at ranged and magical combat and the Rogue excels at jumping, sneaking and disarming traps. Players will be continually tasked with choosing the best character for each challenge as well as using each character?s gameplay specialty to maximum effect. [Atari]",Forgotten Realms: Demon Stone
Role-Playing|Action RPG|Action RPG|Western-Style|,"Oct 11, 2012",69,Cyanide,Focus Home Interactive,6.7,RP,"Of Orcs and Men first puts you into the role of an elite Orc soldier from the legendary legion of Bloodjaws, a league of warriors deeply involved in the war opposing the Orcs and Goblins on one side to their persecutors, Humankind. As a veteran warrior who has seen the most brutal of battles, you are appointed by the Orc commander to complete a mission that could change the course of the war: kill the one man responsible for all of this bloodshed, the one who has, for years, exhorted the human masses to loath and fight the green-skinned people: the Emperor himself.",Of Orcs and Men
Action Adventure|Modern|General|Modern|,"Feb 14, 2006",69,Double Helix Games,Atari,7.8,M,"Dedicated to creating a story and environment that is a true representation of graffiti culture, fashion pioneer Marc Ecko has enlisted 50 of the world's most elite graffiti artists to lend their best artwork and personal experiences to the game and consult with The Collective to give Getting Up: Contents Under Pressure the authentic look and feel of a real urban environment. The game creates its own genre of gameplay, combining combat, action, adventure and stealth. It uses a thrilling graffiti-driven framework to tell its story of self-expression and the fight for creative freedom. A thug, an outcast, a rebel...the lead character, Trane, is all of these in Getting Up: Contents Under Pressure. He sets out to earn his street cred by getting his graffiti tag up throughout the politically oppressive city of New Radius but as events unfold, Trane becomes the unlikely leader of an urban revolution. The story's ""Get In, Get Up and Get Out"" gameplay mechanic offers gamers a unique arsenal of swift stealth and street fighting abilities to GET IN restricted areas of New Radius and battle through the city's rough streets; the dexterity and agility to scale any object in order to GET UP and place graffiti tags, spreading the message of rebellion; and the ingenuity to evade, escape and GET OUT. [Atari]",Marc Ecko's Getting Up: Contents Under Pressure
Strategy|Turn-Based|Real-Time|Tactics|,"Jun  4, 2015",69,Black Lab Games,Slitherine,6.1,None,Being a long term fan of turn based strategy I was pretty happy to have picked this game up. It is in fact a nice mix of real time and turn based with lots of depth for those who like to micro-manage. There are some nice ship designs (esp.  the human factions) and weapons effects. My only complaint is the relatively generic space opera story line. I've sunk a day on this already.,Star Hammer: The Vanguard Prophecy
Action|Action Adventure|Adventure|Third-Person|General|Platformer|Sci-Fi|Sci-Fi|None|,"Jul 28, 2009",69,GRIN,Capcom,6.6,M,"The first true sequel to the classic 1988 Nintendo Entertainment System original, Bionic Commando sees the return of the bionically-enhanced Nathan ""Rad"" Spencer, voiced by Mike Patton, the former lead singer of Faith No More. Time has not been kind to Spencer: 10 years after his heroic defeat of the Imperials in the original game, he has been betrayed by the government he swore to serve, imprisoned for crimes he didn't commit, and sentenced to death. On the very day of Spencer's execution, terrorists detonate a massive experimental weapon in Ascension City, unleashing an intense earthquake that has turned the city into rubble and wiped out its population. With the terrain in ruins and the city's air defense grid now in the control of a massive terrorist force whose goal remains unclear, the FSA have only one option left - a behind-the-lines assault. The perfect job for a Bionic Commando. Bionic Commando transposes the swing-and-shoot gameplay of the 8-bit original to a stunning 3D environment of towering buildings, suspended roadways and monorails, deep canyons and sheer rock faces, where every environment is scalable using swinging, scaling, climbing and wall-walking techniques. [Capcom]",Bionic Commando
Action|Platformer|Platformer|2D|2D|,"Feb  2, 2016",69,Oxeye,Mojang AB,6.9,None,"<span class=""blurb blurb_collapsed"">To me this game is already a timeless classic.<br/> <br/>Story: 8/10. A solid plot with plenty of humour. Not a masterpiece, but the story is</span>",Cobalt
Strategy|Turn-Based|4X|,"Apr 26, 2022",69,Stardock,Stardock,2.4,None,"Warfare. Planetary Conquest. Cultural Domination. Political Alliances. Technological Supremacy. How will you achieve victory? Galactic Civilizations IV is a space-based 4X strategy game set in the 24th century. Humans have discovered faster-than-light travel, and aliens compete with humanity for dominion of the galaxy. You begin the game with only your home planet and must research new technologies, explore the known galaxy, and colonize new worlds while keeping your people at home happy. At the same time, you will engage in trade, diplomacy, intrigue and war with other alien civilizations.",Galactic Civilizations IV
Role-Playing|General|,"May 18, 2021",69,FishTankStudio,Black Eye Games,6.7,None,"Siege Survival: Gloria Victis to nowe dzieło Black Eye Games i FishTankStudio, które wywodzi się bezpośrednio z gry MMORPG Gloria Victis.",Siege Survival: Gloria Victis
Role-Playing|Japanese-Style|,"Jan 23, 2018",69,Tokyo RPG Factory,Square Enix,6.5,E10+,"As an ominous power threatens the fabric of reality, a young man chosen by destiny must arise to face a phenomenon never seen before. Enter Kanata, as he awakens from a devastating dream leading him to find his home, erased from existence. Awaken the power of Memory to restore the Lost and rebuild the world!",Lost Sphear
Sports|Team|Soccer|Sim|,"Sep 13, 2016",69,Konami,Konami,4.0,E,"In PES 2017, the 1st touch is calculated by player attributes, as well as the further inclusion of real ball physics directly controlled by the input ball touch. See how different players control the ball in unique and different ways based on where and how you control them, dictating the flow of the game based on how they react to the unpredictable movement of the ball. In addition, there is more control in how you receive passes, and depending on the pass, players can visually execute the exact play intended, from receiving a pass to sending the ball out again. [Konami]",Pro Evolution Soccer 2017
Action Adventure|General|,"Aug 18, 2016",69,Coffee Powered Machine,Devolver Digital,7.7,None,"Coffee Powered Machine's Game in which you control a philosopher it might sound dull and boring but it's actually fun. In this game you need to gather a mob of people and attack Greek gods sounds simple but game isn't that simple. I would call this game a rare gem because i am not a big fan of games with similar mechanics. Beatiful pixel art style mixed with a good soundtrack gives you great visual experience, mix that with a good game mechanics and variety in them and you get Okhlos. Also i didn't mention the humor aspects of the game, you can find yourself laughing by just wandering what am i playing ? As i have stated mob has a lot of variety from civilians, slaves to warriors to chickens (yes chickens).Bosses are very well designed and are really fun to battle against. Also the playability of the game is very suitable because you can play it 15 minutes or 150 minutes. Simple yet so complicated is a good statement for Okhlos it's suitable to every games from casual to hardcore and in between. I highly recommend this game to everyone but especially to fans of indie games. For the price game delivers a nice ammount of content and by current standards it's worth it but i would purchase the special edition because it's  dlc/bundle gives you much more content",Okhlos
Miscellaneous|Puzzle|General|Puzzle|General|,"May  9, 2011",69,State of Play Games,State of Play Games,4.7,None,"<span class=""blurb blurb_collapsed"">Lume: An illuminating puzzle adventure!<br/> <br/>With a set built entirely out of paper and cardboard, and sumptuously filmed, Lume is a game with a style unlike any other.

Power to your grandads house has failed. Whats more, hes nowhere to be seen. Immerse yourself in Lumes photoreal world,</span>",Lume
Miscellaneous|Trivia / Game Show|Trivia / Game Show|,"Mar 31, 2001",69,Hypnotix,Sierra Entertainment,tbd,E,None,"The $100,000 Pyramid"
Historic|Action Adventure|Survival|,"Feb  8, 2018",69,Facepunch Studios,Facepunch Studios,6.4,None,"Rust is a survival game created by Facepunch Studios. Inspired by games like DayZ, Minecraft and Stalker – Rust aims to create a hostile environment in which emergent gameplay can flourish. The aim of the game is to survive. To do this the player should gather resources. Hitting a tree with a rock will give you wood, hitting a rock with a rock will give you rock and ore. You can then craft a hatchet from the wood and rock, allowing you to gather faster. You can go out and hunt a variety of wildlife such as boars, chickens, rabbits, bears, wolves and deer. Once you have killed an animal you can butcher it to gather its meat and skin. You can craft a fire using wood and cook the meat inside the fire. Then you can eat. You face two major dangers in game. Rust is a multiplayer game, so there will be other players trying to survive in the same way that you are. Unfortunately for you they can find you, kill you and take your stuff. Fortunately for you – you can kill them and take their stuff. Or maybe you can make friends and help each other survive. Rust’s world is harsh – so you might need to make friends to survive. The environment is not kind. Bears and wolves will chase and kill you. Falling from a height will kill you. Being exposed to radiation for an extended period will kill you. Starving will kill you. Being cold will kill you.",Rust
Simulation|Flight|Modern Jet|Modern Jet|Combat|,"Jul 30, 2001",69,Rage Software,Take-Two Interactive,6.3,E,"Une simu avec mon zingue préféré, malheureusement assez arcadisante et sujette à plantages... Eurofighter Typhoon restait néanmoins assez beau et fort fluide sur ma config (Athlon 950 et GeForce 2 MX). On regrettait de ne pas avoir assez de contrôle sur les paramètres de l'avion et de la campagne, tout cela étant un peu trop simplifié, pour ne pas dire simpliste. Au final, un jeu moyen qui ne valait pas toujours ses 300 balles...",Eurofighter Typhoon
Simulation|Flight|WWII|WWII|Combat|,"Oct 25, 2002",69,Microsoft Game Studios,Microsoft Game Studios,6.6,E,"Feel the adrenaline rush as you start strafing enemy positions at 350 mph, 600 feet above the European countryside, guns blazing and bombs blasting. In Combat Flight Simulator 3 (CFS3) you can fly for the USAAF, RAF, or the Luftwaffe in some of the most advanced and exotic aircraft of WWII. [Microsoft]",Combat Flight Simulator 3: Battle for Europe
Sports|Traditional|Team|Basketball|Arcade|Arcade|,"May 15, 2007",69,JC Entertainment,Sierra Online,7.4,E,"FreeStyle is the first foray into building a North American online gaming community that combines sports with RPG elements. Whether a hardcore or casual gamer, enter an immersive world that tests your skills in the ultimate street basketball to hit virtual playgrounds around the country. Dress the part, hit up the musical play list, then break some ankles as you team up with and against players just like the pick-up games of Venice Beach to Rucker Park – only this time you have the skills. Dude... don’t just sit there, ball’s in your court. [Vivendi Universal]",FreeStyle Street Basketball
Adventure|General|,"Jul 22, 2008",69,Exkee,Exkee,6.5,None,"Welcome to I-Fluid, the PC game that will plunge you into an exciting and unprecedented physics-based adventure where the smallest and most common object can become your worst enemy. In I-Fluid you will experience our everyday life from the eyes of a drop of water! Just imagine escaping a generous breakfast while avoiding absorbing tablecloth, breads and cakes scattered all around; to cross all sort of vegetables cooking in a frying pan without vaporizing yourself; to face thirsty cockroaches and make your way through a Mexican party or to find your way in a pitch black kitchen only illuminated by a firefly passing by. Many other original and exciting situations like this await you. So look out for vegetables and fruits that can regenerate you with water and be ready to jump, cling on walls and even control humid objects to accomplish various objectives. [Steam]",I-Fluid
Role-Playing|Massively Multiplayer Online|Massively Multiplayer|Sci-Fi|,"May 11, 2011",69,Astrum Nival,Gala Networks,5.9,None,"Sarnaut was once a thriving and peaceful planet. It had several continents, multiple climates, and a wide range of magnificent creatures. Many distinct civilizations rose and fell throughout the years, such as the human kingdom of the Zem, the Elven kingdom of Airin, and the human kingdom of the June.",Allods Online
Action|Strategy|Real-Time|Shooter|First-Person|General|Tactical|,"Feb 13, 2019",69,Blackmill Games,M2H,7.7,None,"Игра великолепна - прекрасное и удачное сочетание реализма и лёгкой аркадности, что в совокупности с атмосферой и геймплеем делает игру одним из лучших онлайн шутеров в истории",Tannenberg
Simulation|Virtual|Virtual Life|,"Jan 30, 2020",69,Kaigan Games OU,Another Indie,7.5,None,"<span class=""blurb blurb_collapsed"">Simulacra 2 is more of Simulacra 1: More data to search, more people to hack, more cringe to endure.<br/> <br/>Another stranger’s phone. Another</span>",SIMULACRA 2
Action|General|General|Beat-'Em-Up|3D|,"Nov 14, 2013",69,None,Torn Banner Studios,7.4,None,"Chivalry: Deadliest Warrior is a massive expansion pack for the best First-Person Slasher, Chivalry: Medieval Warfare. Featuring competitive online combat that seeks to capture the experience of truly being on a medieval battlefield. Inspired from the intensity and epicness of swordfighting movies such as 300, Gladiator and Braveheart, Chivalry: Medieval Warfare aims to bring that experience to the hands of a gamer.",Chivalry: Deadliest Warrior
Strategy|Real-Time|Fantasy|General|,"Dec  8, 2005",69,Cyanide,Digital Jesters,tbd,None,"The chaos is back! Chaos League: Sudden Death takes off where the original game left off, improved and enhanced to take the real-time, role-playing strategy sports title into a whole new world of pain. The first rule of Chaos League is simple: there are no rules. The aim of the game stays the same – score as many goals as possible...any way possible. Added to the brutal mix are new races, new grounds, 19 additional hero characters, improved commentary, additional in game options such as auto spell casting... and the ability to beat up the referee! In multiplayer, opponents can goad each other via microphone, and fresh tournament modes can be managed to create almost limitless leagues. [Digital Jesters]",Chaos League: Sudden Death
Action Adventure|Horror|Horror|Survival|,"Mar 22, 2013",69,Capcom,Capcom,6.1,M,"Resident Evil 6 is the sixth installment in the series. With 4 unique, yet overlapping story threads, each with their own pair of protagonists for either solo or co-op play, both offline and online, not only does Resident Evil 6 deliver different perspectives and play styles but, with the introduction of the innovative Crossover mechanic players are be able to team up and share the horror with others.",Resident Evil 6
Strategy|Miscellaneous|Turn-Based|Card Battle|Card Battle|,"Jun 15, 2010",69,Stainless Games,Wizards of the Coast,4.8,T,"An extension of the world's premier trading card game, Magic: The Gathering: Duels of the Planeswalkers' brings a pulse-pounding mix of strategic thinking, fantastic artwork, and arcade-style thrills to your PC. Experience an epic game of fantasy and strategy, as never before, when you take on the mantle of a planeswalker - a powerful mage capable of traversing the infinite planes of existence - and forge your destiny! [Wizards of the Coast]",Magic: The Gathering - Duels of the Planeswalkers
Strategy|Real-Time|Historic|General|Historic|Tactics|,"Sep 22, 2009",69,Wargaming.net,Square Enix,7.1,T,"ORDER OF WAR features massive-scale battles brought to life with a cinematic intensity never seen before in a WWII strategy game. Players take command of an entire army including ground troops, artillery, tank divisions and aircraft in all-out strategic assaults. The single-player mode can be played out in two campaigns - American versus German forces on the western front and German versus Russian on the eastern front. Missions will be based on key historic events and operations from 1944. In the summer of 1944, the Second World War entered its end-game when the Allies launched two major operations that would drive back German forces on both the Western and Eastern Fronts at once. In the ultimate test of military strategy, ORDER OF WAR challenges you not only to lead America's finest to victory in the west, but also place you in command of German forces charged with repelling the Red Army’s seemingly unstoppable offensive in the east. Even the keenest military minds will find that it's one thing to make history, but quite another to change it. Do you have what it takes to command? Experience WWII warfare on an epic, cinematic stage; that truly captures the intensity and scale of the battlefield. Command of an entire armed force consisting of up to 1,000 soldiers, tanks, armored vehicles, artillery and air planes. Players can choose between two different campaign modes offering completely different storylines, missions, objectives and environments. Experience the unique dynamic camera that allows players to command troops over huge geographical scale whilst maintaining movie-like vistas and detail. In-depth gameplay mode: two different campaign modes, multi-player, Deathmatch and Skirmish. [Square Enix]",Order of War
Role-Playing|Action RPG|,"Jun  2, 2016",69,Edge Entertainment,Edge Entertainment,7.7,None,"It was a refreshing and incredible adventure, the best indie game I have played in a lot of time. 5 finals, a lot of secrets, incredible ost, playability...",Anima: Gate of Memories
Action|Shooter|Shooter|First-Person|Sci-Fi|Sci-Fi|Arcade|,"May  3, 2005",69,Digital Extremes,Groove Games,5.6,M,"The pathogen is unknown. Dr. Jack Mason en route to assess threat levels. Request cryogenic containment of infected subject ""B"": Karina J. All Prisoner rights are hereby revoked under Section-4 of the Transgenic Containment Act. Evacuate non-essential personnel in preparation got possible thermonuclear contanment protocol. FROM THE CREATORS OF ""UNREAL"" comes a spiraling plunge into destruction, despair and disease. Jack Mason is a burnt-out doctor and an outcast rejected by society. With no will to live, until he nearly dies in a transport crash, Jack and his infected patient are stranded deep within the most vicious prison sectors of a wasteland called ""Earth."" [Groove Games]",Pariah
Action Adventure|Open-World|,"Nov 19, 2019",69,Ys Net,Deep Silver,6.1,T,"<span class=""blurb blurb_collapsed"">The story begins in 1980s Yokosuka, Japan.<br/> <br/>The main character, Ryo Hazuki has his father murdered before him by Lan Di, the boss of the underground organization, Chi You Men. Ryo learns of the existence of a mysterious pair of mirrors, and makes his way to Hong Kong to unravel the mystery</span>",Shenmue III
Strategy|General|,"Dec  2, 2015",69,Daedalic Entertainment,Daedalic Entertainment,7.1,None,As a huge fan of Settlers 2 and the Cultures series I was very excited when I heard about Valhalla Hills and my expectations got fulfilled. I purchased while early access was still running and right then it already felt like a complete game. I love the simple art style and already spend hours with this game.,Valhalla Hills
Simulation|General|Vehicle|Civilian|,"Sep 20, 2013",69,SCS Software,Excalibur Publishing Limited,8.1,None,"Molto bello, realistico con molte mod applicabili al gioco molti camion disponibili alla lunga è un po monotono poichè bisogna fare sempre la stessa cosa ma questo lasciamolo stare perchè la vita di un camionista non è per niente facile",Euro Truck Simulator 2: Go East
Action Adventure|Survival|,"Sep  8, 2016",69,EKO Software,505 Games,7.0,None,This is a very good addition to the survival sandbox genre.  I'm playing this online with other people.  The game has really good net code and profile management.  We have our base.  And can pretty much do whatever we want independently of one another and team up as and when we want to.  The main map is large and we go on roams around that - and we initiate missions for resources we want that are plentiful on those instances - and sometime team up - sometimes not - one of us might be messing around with the base one might be in an instance - someone else might be on a roam.  Just loads of fun.  I also play solo with added meaning - because I can dump resources into our team base - effectively farming for when we team up again.,How to Survive 2
Action|Rhythm|Music|,"Oct 11, 2019",69,Steam Factory,IV Productions,tbd,None,"bad game. the only reason this game exists is to push some stupid political agenda. games like these shouldnt exist. I regret spending my money on this garbage, I do not recommend it to anyone.",Pride Run
Action|Platformer|2D|,"Feb 27, 2015",69,Connor Ullmann,Adult Swim,7.0,None,"Explore your limits against a brutal and mysterious world as Parvus, a curious warrior with no memory and a heavy burden. Raise your spear and cast ancient spells as you battle hostile creatures and towering bosses in procedurally-generated 2D landscapes that are both beautiful and dangerous. Answer the call. Break the cycle. ",Oblitus
Action|Beat-'Em-Up|Beat-'Em-Up|2D|,"Sep 18, 2013",69,Mediatonic,Mediatonic,5.9,None,"Prepare for DRAMA as the Baron's tale unfolds, from the harsh deserts of Cairo, to the shady streets of Victorian London... and beyond. The finest actors and actresses of the day have been employed to ensure the ABSOLUTE authenticity of the story. Prepare to play out the most spectacular and explosive moments of the Baron's life; improbable beasts, astonishing villainy, and at the heart of it all - the mysterious Foul Play.",Foul Play
General|Shooter|Sci-Fi|General|Action|Shooter|Third-Person|Arcade|,"Mar 25, 2013",69,Digital Extremes,Digital Extremes,8.3,M,"They were called Tenno. Warriors of blade and gun: masters of the Warframe armor. Those that survived the old war were left drifting among the ruins. Now they are needed once more. The Grineer, with their vast armies, are spreading throughout the solar system. A call echoes across the stars summoning the Tenno to an ancient place. They summon you. Allow the Lotus to guide you. She has rescued you from your cryostasis chamber and given you a chance to survive. The Grineer will find you; you must be prepared. The Lotus will teach you the ways of the Warframes and the secrets to unlocking their powers. Come Tenno, you must join the war.",Warframe
Action|General|General|,"Dec 19, 2006",69,Cinemax,Cinemax,5.4,None,"Gumboy uses its rubbery characteristics – rolling, bouncing, jumping, flying and floating, which in connection with the simple controls brings you loads of fun. And even more when you realise that GUMBOY changes its size, shape and material. It joins the game in the form of a sphere, cube or star. It will be filled with rubber, air or water. Over 50 levels within a fairy-tale atmosphere. Interactive environments: water, wind, rain, teleports, boosts, sticky and slippery surfaces. Original artistic depiction of 6 various worlds (forest, field, cave, magical world). [Meridian4]",Gumboy Crazy Adventures
Adventure|Third-Person|Point-and-Click|Modern|Modern|,"Oct 31, 1997",69,Revolution Software,Virgin Interactive,8.0,T,"Plunge into a shadowy conspiracy world where the schemes of a mad drug kingpin and the prophesied return of an ancient Mayan god clash in what could be the end of all mankind. Race around the globe with George as he frantically attempts to free Nico, his investigaative reporter girlfriend, from othe clutches of Karzac's crime cartel. Guide Nico and George as they unravel the dark mysteries that lead them closer and closer to an ancient horror best left buried in the steamy jumgles of Central America. Gather clues and make friends, but be aware - a smiling face can hide a deadly obstacle in your quest to sop the return of ""he who devours the sun and consumes the flesh of all mankind,"" the Mayan God Tezcatlipoca. [Virgin Interactive]",Broken Sword: The Smoking Mirror
Sports|Traditional|Team|Basketball|Management|Sim|,"Nov 19, 2014",69,Umix Studios,Cyanide,tbd,None,"As a basketball fan I really love this game. I really have the impression I can influence the game with my choice. It's also a nice point to have some female championships in the game, it could however be improved with the WNBA. The tactics creation is really nice and allows to create your own plays easily. There is a lot to do (on trainings for example) to be as good as football manager but still for 25$ it's a really good game for basketball fans.",Basketball Pro Management 2015
Role-Playing|Massively Multiplayer Online|Massively Multiplayer|Fantasy|Fantasy|,"Mar 22, 2011",69,Perfect World Entertainment,Perfect World Entertainment,5.3,None,"<span class=""blurb blurb_collapsed"">Most of the Negative reviews I have seen of this game are 2-3 years old OUTDATED!<br/> <br/>Its 2013 this game has Improved a lot. Less file error go</span>",Forsaken World
Role-Playing|Action RPG|,"Apr 16, 2018",69,Falcom,NIS America,7.8,T,"Ys returns with a brand new adventure for the first time in 8 years! Adol awakens shipwrecked and stranded on a cursed island. There, he and the other shipwrecked passengers he rescues form a village to challenge fearsome beasts and mysterious ruins on the isolated island. Amidst this, Adol",Ys VIII: Lacrimosa of DANA
Action|Platformer|3D|,"Dec 23, 2021",69,Uprising Studios,HandyGames,8.1,None,"What does it mean to be a hero? To fulfil your destiny? Or to rebel against it? Scarf is an exciting adventure that blends the lyricism of a walking simulator with a 3D platform game to offer an allegorical journey through three beautiful worlds. The Meadow, the Desert, and the Mountain are places filled with mystery. Will you discover their secrets? And at what price?",Scarf
Driving|Racing|Simulation|Rally / Offroad|Automobile|,"Feb  5, 2001",69,Invictus,Codemasters,7.5,E,"One of the best car (racing) games that I have ever played. For a game released in 2001, the graphics and the physics are just amazing.",1nsane
Action|Shooter|Shooter|First-Person|Sci-Fi|Sci-Fi|Arcade|,"Dec 18, 2000",69,id Software,Activision,7.5,M," The First real game MP in the world, with a lot of mods realised by a really nice community! I can propse u to try some mods like TrueCombat (Total conversion : realistic mods ) totally submersif ans addictive. TrueCombat have now a young brother : TC:Elite on Wolfestein ( using Q3 3D motor) but i prefer q3 original and Truecombat for the design and the player movement realist ..just try it and u ll be conquer.",Quake III: Team Arena
Role-Playing|General|General|,"Jul 20, 2011",69,Mystic Box,Mystic Box,6.7,None,"Original Indie Game. PuzzleQuest-like game with Pokers Elements and Magic: The Gathering elements. Great music, a well-written story and pretty cool 3D Characters.",Runespell: Overture
Action|Simulation|Shooter|Flight|Shooter|Third-Person|Combat|Tactical|Historic|Historic|,"Jul  2, 2013",69,Wargaming.net,Wargaming.net,5.2,T,"World of Warplanes is a stand alone Free to play game being developed by the team that created the award winning and highly acclaimed game, World of Tanks. World of Tanks (www.WorldofTanks.com) is a team-based massively multiplayer online game dedicated to armored warfare in the mid-20th century. An advanced system of vehicle upgrade and development allows you to try out the vehicles and weapons featured in the game. Whether you prefer to exhaust your foes with fast and maneuverable light tanks, punch deep into enemy lines with all-purpose medium tanks, use the power of heavy tanks to eliminate opposing forces, or become a high-powered sniper using long-range artillery, each unit type is extremely lethal and effective when commanded by a true tank ace.",World of Warplanes
Adventure|General|General|,"Apr 15, 2008",69,Legacy Interactive,Strategy First,6.6,T,"Colonial England. Under a certain amount of… duress… Jack takes on a job which will not only cause him a great deal of trouble, but also bring to light the answer to a mystery out of his distant past. A lack of money leads Jack to accept a charter to take a British secret agent to mysterious “Tooth Island”. When Jack’s ship shatters on the mysterious island’s cliffs on arrival and the secret agent quickly becomes a meal for a monster in the jungle, Jack is soon left to cope with the situation on his own. “Tooth Island” is ruled by the strange Doctor T, who is cultivating man-eating plants and has his own dastardly plans for the British Empire. And why does he seem to know Jack, who can’t remember ever having been on Tooth Island? What are Doctor T's plans? And what does he know about Jack’s past? And then there’s the young and naive Amanda, who is filled by an almost fanatical drive to prove her worth. In the beginning the young lady is employed by Doctor T, and part of her task is to track Jack down and take him prisoner. It doesn’t take long before she begins to wonder if she is really on the right side, or if she shouldn’t join her opponent, the charming Captain Jack, instead. A hair-raising hunt across the length and breadth of the dangerous island finally airs the mystery surrounding Jack’s past and leads to a spectacular showdown with a dark and deadly enemy and his nefarious henchmen. [10Tactle Studios]",Jack Keane
Action|Shooter|Third-Person|Tactical|,"Aug 24, 2021",69,Cold Iron Studios,Cold Iron Studios,5.6,M,"2202. A mysterious distress call reroutes your Marine Assault Unit to LV-895 in the outer colonies, where deadly Xenomorph legions, hidden corporate secrets, and ancient alien ruins await your arrival. Set in the iconic Alien universe, Aliens: Fireteam is a cooperative third-person survival",Aliens: Fireteam Elite
